proximityRef;timestamp;proximity;rssi;accuracy
2.0;15:04:08;3;-76;5.45986561789738
2.0;15:04:09;3;-76;5.20895822657079
2.0;15:04:10;3;-76;5.0021960444869
2.0;15:04:11;3;-76;4.84299140611412
2.0;15:04:12;3;-76;4.72227674020949
2.0;15:04:13;3;-76;4.63019486017625
2.0;15:04:14;3;-76;4.54412663023273
2.0;15:04:15;3;-73;4.14360683020145
2.0;15:04:16;3;-73;3.83741565584668
2.0;15:04:17;3;-75;3.79301765488496
2.0;15:04:18;3;-75;3.75820160702542
2.0;15:04:19;3;-74;3.65114847589506
2.0;15:04:20;3;-75;3.6413243610205
2.0;15:04:21;3;-75;3.63275557016196
2.0;15:04:22;3;-74;3.53558214326957
2.0;15:04:23;3;-74;3.45811554552586
2.0;15:04:24;3;-74;3.39653729446365
2.0;15:04:25;3;-74;3.3476821081949
2.0;15:04:26;3;-72;3.11910306477786
2.0;15:04:27;3;-71;2.85851814330182
2.0;15:04:28;2;-71;2.68807682483337
2.0;15:04:29;2;-73;2.70451011096182
2.0;15:04:30;2;-72;2.65943575324468
2.0;15:04:31;2;-71;2.54852088251319
2.0;15:04:32;2;-71;2.45733752820597
2.0;15:04:33;2;-70;2.31006111415017
2.0;15:04:34;2;-71;2.27312556049501
2.0;15:04:35;2;-71;2.24443141752729
2.0;15:04:36;2;-70;2.15080497817278
2.0;15:04:37;2;-70;2.08312078413405
2.0;15:04:38;2;-69;1.97213654591234
2.0;15:04:39;2;-69;1.88964772137514
2.0;15:04:40;2;-70;1.8911618424133
2.0;15:04:41;2;-70;1.89232325755698
2.0;15:04:42;2;-70;1.8932012986754
2.0;15:04:43;2;-70;1.89380618362971
2.0;15:04:44;2;-70;1.89421963873824
2.0;15:04:45;2;-70;1.89450798618216
2.0;15:04:46;2;-70;1.89471489959909
2.0;15:04:47;2;-70;1.89486896584092
2.0;15:04:48;2;-70;1.89498862706223
2.0;15:04:49;2;-71;1.93866045276784
2.0;15:04:50;2;-70;1.92916685521757
2.0;15:04:51;2;-70;1.9211881498283
2.0;15:04:52;2;-70;1.91486012143438
2.0;15:04:53;2;-70;1.91039542255104
2.0;15:04:54;2;-69;1.85392811402296
2.0;15:04:55;2;-71;1.91625407437289
2.0;15:04:56;2;-71;1.96960090944391
2.0;15:04:57;2;-70;1.95057765466362
2.0;15:04:58;2;-70;1.93637517400447
2.0;15:04:59;2;-69;1.8597721587512
2.0;15:05:00;2;-66;1.61468338117084
