rssi;accuracy;proximity
-87;14,69;3
-87;14,65;3
-87;15,04;3
-87;15,09;3
-87;21,41;3
-87;21,19;3
-87;17,38;3
-87;17,53;3
-87;17,50;3
-87;17,47;3
-87;17,44;3
-87;17,42;3
-87;17,39;3
-88;6,75;3
-88;7,04;3
-88;7,33;3
-88;11,68;3
-88;12,10;3
-88;12,30;3
-88;12,49;3
-88;12,02;3
-88;14,64;3
-88;14,77;3
-88;14,89;3
-88;15,01;3
-88;15,51;3
-88;15,61;3
-88;15,71;3
-88;15,80;3
-88;16,04;3
-88;17,49;3
-88;17,65;3
-88;7,08;3
-88;10,90;3
-88;11,97;3
-88;13,54;3
-88;14,56;3
-88;15,07;3
-88;17,11;3
-88;19,62;3
-88;20,94;3
-88;20,61;3
-88;20,52;3
-88;19,23;3
-88;19,31;3
-88;19,30;3
-88;24,78;3
-88;25,12;3
-88;24,81;3
-88;24,62;3
-88;24,25;3
-88;12,04;3
-88;12,40;3
-88;12,86;3
-88;13,71;3
-88;13,92;3
-88;14,13;3
-88;14,70;3
-88;14,85;3
-88;15,00;3
-88;15,14;3
-88;15,27;3
-88;15,40;3
-88;15,52;3
-88;14,28;3
-88;14,41;3
-88;14,55;3
-88;14,81;3
-88;14,98;3
-88;20,45;3
-88;20,31;3
-88;20,19;3
-88;20,08;3
-88;20,41;3
-88;20,89;3
-88;20,78;3
-88;19,23;3
-89;7,63;3
-89;7,93;3
-89;12,72;3
-89;15,25;3
-89;15,18;3
-89;15,35;3
-89;15,95;3
-89;16,56;3
-89;17,13;3
-89;17,44;3
-89;17,61;3
-89;12,59;3
-89;14,39;3
-89;16,77;3
-89;16,91;3
-89;17,05;3
-89;17,61;3
-89;17,95;3
-89;19,65;3
-89;19,27;3
-89;22,44;3
-89;22,38;3
-89;23,89;3
-89;23,79;3
-89;24,98;3
-89;24,68;3
-89;25,02;3
-89;25,34;3
-89;25,02;3
-89;24,01;3
-89;23,88;3
-89;23,76;3
-89;23,64;3
-89;23,58;3
-89;22,70;3
-89;14,38;3
-89;14,63;3
-89;14,99;3
-89;15,25;3
-89;20,45;3
-89;20,53;3
-89;21,11;3
-89;21,13;3
-89;17,49;3
-89;17,80;3
-90;8,25;3
-90;14,19;3
-90;14,47;3
-90;15,05;3
-90;13,79;3
-90;16,24;3
-90;16,43;3
-90;16,99;3
-90;17,32;3
-90;13,85;3
-90;14,15;3
-90;15,31;3
-90;17,30;3
-90;17,49;3
-90;18,12;3
-90;19,52;3
-90;19,81;3
-90;20,02;3
-90;20,22;3
-90;20,41;3
-90;20,59;3
-90;20,99;3
-90;19,73;3
-90;20,04;3
-90;20,34;3
-90;20,63;3
-90;20,90;3
-90;21,15;3
-90;21,38;3
-90;22,50;3
-90;22,60;3
-90;22,70;3
-90;23,80;3
-90;23,83;3
-90;23,85;3
-90;23,81;3
-90;23,84;3
-90;23,88;3
-90;23,92;3
-90;24,16;3
-90;25,10;3
-90;23,61;3
-90;14,87;3
-90;20,37;3
-90;20,63;3
-90;20,83;3
-90;21,02;3
-90;20,94;3
-90;21,09;3
-90;21,49;3
-90;21,80;3
-90;21,90;3
-90;17,96;3
-90;18,12;3
-91;8,60;3
-91;8,94;3
-91;9,28;3
-91;9,62;3
-91;9,96;3
-91;13,90;3
-91;14,79;3
-91;16,80;3
-91;13,03;3
-91;17,84;3
-91;20,73;3
-91;19,44;3
-91;22,92;3
-91;23,43;3
-91;23,60;3
-91;23,77;3
